,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,264,2020-09-01,49.4,42,-0.2,▼,64.0,-0.4,-7.0,6463.0,primed_continuity
1,0,2020-09-01,349.5,40,-2.0,▼,60.0,-0.6,-10.0,6871.0,loki_prime_set
2,303,2020-09-01,49.0,116,0.0,-,60.0,0.0,-102.0,31274.0,arcane_energize
3,18,2020-09-01,137.5,75,0.6,▲,54.0,0.4,33.0,10851.0,ash_prime_set
4,72,2020-09-01,161.3,64,1.3,▲,54.0,0.8,-30.0,9177.0,kronen_prime_set
5,265,2020-09-01,61.3,30,0.5,▲,50.0,0.8,-27.0,4346.0,primed_flow
6,74,2020-09-01,88.0,45,0.1,▲,39.0,0.1,-5.0,8144.0,nikana_prime_set
7,350,2020-09-01,94.9,30,1.0,▲,37.0,1.1,7.0,2188.0,primed_cryo_rounds
8,14,2020-09-01,149.6,119,0.0,-,36.0,0.0,24.0,19422.0,saryn_prime_set
9,96,2020-09-01,48.8,28,-0.1,▼,36.0,-0.2,-8.0,5393.0,imperator_vandal_set
