,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-04-19,60.9,146,-1.3,▼,-43.0,-2.1,-20.0,14191.0,ivara_prime_set
19,2020-04-19,38.1,156,-0.5,▼,-29.0,-1.3,-11.0,10124.0,wukong_prime_set
3,2020-04-19,40.0,155,0.0,-,-18.0,0.0,-10.0,9485.0,mesa_prime_set
25,2020-04-19,34.2,84,0.3,▲,-20.0,0.9,-41.0,9273.0,atlas_prime_set
13,2020-04-19,144.1,129,0.0,-,31.0,0.0,54.0,8065.0,saryn_prime_set
1,2020-04-19,36.9,111,0.1,▲,-13.0,0.3,-9.0,7529.0,equinox_prime_set
7,2020-04-19,33.3,134,-0.4,▼,-18.0,-1.2,43.0,7329.0,chroma_prime_set
5,2020-04-19,64.4,77,1.4,▲,21.0,2.2,2.0,6934.0,limbo_prime_set
23,2020-04-19,81.1,97,-1.0,▼,-39.0,-1.2,-7.0,6497.0,nekros_prime_set
2,2020-04-19,153.0,73,-0.1,▼,9.0,-0.1,23.0,6178.0,rhino_prime_set
