,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
235,2020-07-18,42.9,184,2.3,▲,23.0,5.7,37.0,14820.0,arcane_grace
43,2020-07-18,37.1,16,1.8,▲,1.0,5.1,1.0,4301.0,tigris_prime_set
337,2020-07-18,47.3,24,1.7,▲,6.0,3.7,0.0,1382.0,jolt
83,2020-07-18,163.8,20,5.9,▲,33.0,3.7,-5.0,2364.0,venka_prime_set
104,2020-07-18,60.1,12,1.9,▲,1.0,3.3,3.0,89.0,vengeful_toxin_(kuva_lich_ephemera)
126,2020-07-18,30.1,16,0.9,▲,-3.0,3.1,6.0,1787.0,sancti_castanas
384,2020-07-18,33.9,20,1.0,▲,-7.0,3.0,4.0,1936.0,primed_pressure_point
266,2020-07-18,45.8,20,1.3,▲,6.0,2.9,-4.0,2484.0,hammer_shot
234,2020-07-18,37.9,277,1.0,▲,39.0,2.7,153.0,22417.0,arcane_energize
84,2020-07-18,50.5,68,1.3,▲,-1.0,2.6,13.0,10263.0,shedu_set
