,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
292,292,2020-10-31,449.9,17,0.1,▲,94.0,0.0,-1.0,8449.0,loki_prime_set
46,46,2020-10-31,21.2,39,-0.7,▼,-1.0,-3.2,-5.0,2247.0,dethcube_prime_set
46,46,2020-10-31,132.4,20,2.0,▲,19.0,1.5,3.0,533.0,wyrm_prime_set
46,46,2020-10-31,86.7,37,0.6,▲,11.0,0.7,-2.0,1814.0,helios_prime_set
46,46,2020-10-31,78.7,24,0.2,▲,14.0,0.3,-11.0,1211.0,carrier_prime_set
4,4,2020-10-31,166.4,441,,▲,4.0,,-86.0,2364.0,nezha_prime_set
116,116,2020-10-31,35.7,109,-1.2,▼,-42.0,-3.3,-18.0,14335.0,titania_prime_set
292,292,2020-10-31,36.1,77,-1.0,▼,-24.0,-2.7,-15.0,24306.0,equinox_prime_set
292,292,2020-10-31,193.4,55,0.9,▲,41.0,0.5,16.0,17372.0,rhino_prime_set
292,292,2020-10-31,52.0,150,-0.1,▼,-8.0,-0.2,43.0,37029.0,mesa_prime_set
292,292,2020-10-31,60.0,84,-0.3,▼,9.0,-0.5,-6.0,14026.0,ember_prime_set
292,292,2020-10-31,92.6,55,-1.0,▼,54.0,-1.1,4.0,17244.0,limbo_prime_set
292,292,2020-10-31,36.9,91,-0.7,▼,-78.0,-1.9,0.0,37780.0,ivara_prime_set
292,292,2020-10-31,66.7,59,0.6,▲,16.0,0.9,7.0,24322.0,chroma_prime_set
292,292,2020-10-31,137.5,29,0.3,▲,40.0,0.2,-17.0,9062.0,nyx_prime_set
292,292,2020-10-31,63.6,70,-0.9,▼,-3.0,-1.4,-34.0,11287.0,frost_prime_set
292,292,2020-10-31,47.2,46,0.9,▲,-20.0,1.9,-18.0,18003.0,trinity_prime_set
292,292,2020-10-31,94.9,53,-0.6,▼,19.0,-0.6,27.0,13922.0,hydroid_prime_set
292,292,2020-10-31,67.2,53,-0.7,▼,18.0,-1.0,0.0,19702.0,nova_prime_set
292,292,2020-10-31,170.2,86,0.0,-,54.0,0.0,1.0,24616.0,saryn_prime_set
292,292,2020-10-31,98.4,80,-0.5,▼,65.0,-0.5,16.0,19551.0,mirage_prime_set
292,292,2020-10-31,101.5,56,-0.9,▼,37.0,-0.9,12.0,13148.0,valkyr_prime_set
292,292,2020-10-31,150.1,42,1.5,▲,46.0,1.0,-1.0,11125.0,mag_prime_set
