,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-05-03,57.5,172,-1.1,▼,-47.0,-1.9,25.0,16205.0,ivara_prime_set
1,2020-05-03,33.7,117,0.2,▲,-18.0,0.6,4.0,8908.0,equinox_prime_set
25,2020-05-03,31.9,114,-0.1,▼,-22.0,-0.3,-21.0,10748.0,atlas_prime_set
3,2020-05-03,37.2,108,-0.6,▼,-25.0,-1.6,-24.0,11116.0,mesa_prime_set
7,2020-05-03,31.3,103,-0.2,▼,-22.0,-0.6,2.0,8848.0,chroma_prime_set
92,2020-05-03,42.7,87,-9.1,▼,13.0,-17.6,-7.0,2012.0,imperator_vandal_set
14,2020-05-03,72.5,87,0.5,▲,36.0,0.7,7.0,6937.0,mirage_prime_set
155,2020-05-03,30.8,84,-0.5,▼,-9.0,-1.6,-21.0,3069.0,augur_secrets
13,2020-05-03,148.9,80,0.4,▲,37.0,0.3,12.0,9282.0,saryn_prime_set
23,2020-05-03,79.9,78,-0.3,▼,-39.0,-0.4,-16.0,7656.0,nekros_prime_set
