,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,289,2020-09-22,69.1,35,0.5,▲,80.0,0.7,-1.0,7577.0,primed_continuity
1,330,2020-09-22,58.1,116,0.8,▲,76.0,1.4,-73.0,35052.0,arcane_energize
2,0,2020-09-22,360.0,25,1.1,▲,67.0,0.3,-10.0,7586.0,loki_prime_set
3,78,2020-09-22,170.7,50,0.5,▲,62.0,0.3,-7.0,10521.0,kronen_prime_set
4,22,2020-09-22,139.8,26,-0.2,▼,56.0,-0.1,-22.0,11907.0,ash_prime_set
5,290,2020-09-22,67.4,29,-0.7,▼,54.0,-1.0,10.0,5054.0,primed_flow
6,480,2020-09-22,113.2,16,1.3,▲,53.0,1.2,2.0,3072.0,primed_fever_strike
7,102,2020-09-22,61.7,22,-1.5,▼,49.0,-2.4,14.0,5888.0,imperator_vandal_set
8,80,2020-09-22,93.3,50,0.5,▲,48.0,0.5,1.0,9087.0,nikana_prime_set
9,19,2020-09-22,78.9,88,0.6,▲,48.0,0.8,1.0,17191.0,mirage_prime_set
