,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
27,2020-07-16,,893,,▲,2.0,,-419.0,2205.0,inaros_prime_set
240,2020-07-16,38.8,202,1.8,▲,21.0,4.9,-192.0,14489.0,arcane_grace
97,2020-07-16,,231,,▲,2.0,,-123.0,585.0,panthera_prime_set
98,2020-07-16,,252,,▲,2.0,,-98.0,602.0,karyst_prime_set
1,2020-07-16,61.2,105,-4.3,▼,1.0,-6.6,-74.0,1041.0,titania_prime_set
258,2020-07-16,42.3,13,0.5,▲,4.0,1.2,-42.0,3865.0,exodia_contagion
38,2020-07-16,31.9,51,-0.7,▼,14.0,-2.1,-32.0,10452.0,rubico_prime_set
15,2020-07-16,72.5,73,-0.9,▼,34.0,-1.2,-29.0,11956.0,mirage_prime_set
12,2020-07-16,92.4,45,-0.5,▼,10.0,-0.5,-21.0,9634.0,hydroid_prime_set
24,2020-07-16,96.0,49,0.2,▲,-32.0,0.2,-21.0,13796.0,nekros_prime_set
