,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
104,2020-10-29,48.8,10,3.0,▲,-18.0,6.6,5.0,2174.0,pathocyst_set
101,2020-10-29,145.5,23,8.9,▲,4.0,6.5,3.0,2022.0,lato_vandal_set
50,2020-10-29,37.7,25,1.9,▲,13.0,5.3,14.0,4167.0,sybaris_prime_set
133,2020-10-29,34.4,14,1.6,▲,15.0,4.9,-2.0,3215.0,sancti_tigris
102,2020-10-29,43.0,14,1.5,▲,10.0,3.6,6.0,1065.0,twin_vipers_wraith_set
511,2020-10-29,39.1,36,1.3,▲,7.0,3.4,10.0,4447.0,tempo_royale
40,2020-10-29,90.9,13,3.0,▲,30.0,3.4,-3.0,3509.0,boar_prime_set
58,2020-10-29,69.3,18,2.1,▲,9.0,3.1,0.0,2972.0,aklex_prime_set
71,2020-10-29,101.9,21,3.1,▲,61.0,3.1,2.0,2292.0,ankyros_prime_set
33,2020-10-29,44.9,32,1.3,▲,-65.0,3.0,2.0,11746.0,baza_prime_set
