,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
324,2020-11-22,80.9,142,9.7,▲,101.0,13.6,10.0,43911.0,arcane_energize
12,2020-11-22,32.4,88,-0.6,▼,-86.0,-1.8,15.0,39556.0,ivara_prime_set
9,2020-11-22,49.7,69,-0.1,▼,-13.0,-0.2,3.0,39322.0,mesa_prime_set
25,2020-11-22,31.4,112,-0.7,▼,-42.0,-2.2,37.0,35576.0,wukong_prime_set
325,2020-11-22,40.9,111,-0.7,▼,22.0,-1.7,19.0,28196.0,arcane_grace
31,2020-11-22,33.8,51,-0.2,▼,-34.0,-0.6,18.0,26701.0,atlas_prime_set
7,2020-11-22,32.4,86,0.4,▲,-31.0,1.2,-29.0,26467.0,equinox_prime_set
19,2020-11-22,174.0,69,0.0,-,61.0,0.0,19.0,25956.0,saryn_prime_set
13,2020-11-22,68.0,39,-1.0,▼,19.0,-1.4,-30.0,25477.0,chroma_prime_set
32,2020-11-22,55.5,132,-0.7,▼,-55.0,-1.2,34.0,24329.0,inaros_prime_set
