,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,275,2020-12-10,86.5,15,0.1,▲,100.0,0.1,-7.0,9832.0,primed_continuity
1,304,2020-12-10,65.2,70,0.0,-,94.0,0.0,-40.0,46006.0,arcane_energize
2,0,2020-12-10,424.4,16,3.5,▲,79.0,0.8,-4.0,9254.0,loki_prime_set
3,343,2020-12-10,71.7,17,0.2,▲,76.0,0.3,8.0,3733.0,primed_cryo_rounds
4,438,2020-12-10,56.6,14,-1.4,▼,75.0,-2.4,1.0,4586.0,primed_fever_strike
5,276,2020-12-10,85.4,14,2.0,▲,72.0,2.4,3.0,6950.0,primed_flow
6,81,2020-12-10,180.1,33,0.1,▲,72.0,0.1,5.0,13588.0,kronen_prime_set
7,23,2020-12-10,139.3,34,0.0,-,61.0,0.0,9.0,14438.0,ash_prime_set
8,19,2020-12-10,171.7,38,1.2,▲,59.0,0.7,-17.0,27121.0,saryn_prime_set
9,177,2020-12-10,31.2,15,0.0,-,57.0,0.0,0.0,7309.0,steel_charge
