,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-06-10,49.9,73,0.1,▲,-48.0,0.2,-2.0,21332.0,ivara_prime_set
23,2020-06-10,85.6,69,-0.4,▼,-45.0,-0.5,-5.0,11334.0,nekros_prime_set
26,2020-06-10,51.4,43,0.3,▲,-41.0,0.6,5.0,6765.0,baza_prime_set
46,2020-06-10,81.2,29,0.0,-,-37.0,0.0,4.0,5203.0,aksomati_prime_set
19,2020-06-10,34.0,84,0.0,-,-37.0,0.0,-40.0,16213.0,wukong_prime_set
25,2020-06-10,30.8,100,-0.2,▼,-26.0,-0.6,36.0,14095.0,atlas_prime_set
3,2020-06-10,38.7,89,0.9,▲,-23.0,2.4,7.0,15634.0,mesa_prime_set
76,2020-06-10,30.9,31,0.1,▲,-21.0,0.3,11.0,3178.0,silva_and_aegis_prime_set
22,2020-06-10,44.9,21,0.0,-,-20.0,0.0,-8.0,6193.0,oberon_prime_set
1,2020-06-10,32.7,81,0.3,▲,-18.0,0.9,-13.0,12508.0,equinox_prime_set
