,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
330,2020-09-28,59.8,111,0.0,-,81.0,0.0,-124.0,36074.0,arcane_energize
11,2020-09-28,40.0,69,0.0,-,-71.0,0.0,-59.0,35430.0,ivara_prime_set
8,2020-09-28,35.3,145,0.4,▲,-28.0,1.1,-58.0,31997.0,mesa_prime_set
24,2020-09-28,31.5,113,0.0,-,-42.0,0.0,-40.0,30425.0,wukong_prime_set
30,2020-09-28,34.2,72,-0.4,▼,-30.0,-1.2,-21.0,23723.0,atlas_prime_set
331,2020-09-28,47.4,101,-0.7,▼,32.0,-1.5,-64.0,23593.0,arcane_grace
12,2020-09-28,62.4,54,-0.6,▼,15.0,-1.0,-32.0,22504.0,chroma_prime_set
18,2020-09-28,160.7,74,0.5,▲,47.0,0.3,9.0,22270.0,saryn_prime_set
6,2020-09-28,35.2,77,0.1,▲,-26.0,0.3,-5.0,22201.0,equinox_prime_set
28,2020-09-28,139.8,76,0.1,▲,8.0,0.1,14.0,19329.0,nekros_prime_set
