,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-03-01,94.3,169,-1.8,▼,-17.0,-1.9,27.0,6228.0,ivara_prime_set
19,2020-03-01,60.1,96,-0.8,▼,2.0,-1.3,21.0,4369.0,wukong_prime_set
3,2020-03-01,49.0,92,-0.2,▼,-4.0,-0.4,40.0,3635.0,mesa_prime_set
23,2020-03-01,102.9,81,-1.8,▼,-16.0,-1.7,9.0,2507.0,nekros_prime_set
25,2020-03-01,48.9,81,-0.8,▼,-4.0,-1.6,-14.0,4028.0,atlas_prime_set
1,2020-03-01,47.8,81,-1.0,▼,3.0,-2.0,2.0,3059.0,equinox_prime_set
13,2020-03-01,129.4,79,-0.9,▼,18.0,-0.7,14.0,3303.0,saryn_prime_set
5,2020-03-01,46.3,64,-0.1,▼,4.0,-0.2,-26.0,2458.0,limbo_prime_set
74,2020-03-01,32.8,61,0.0,-,6.0,0.0,5.0,2085.0,redeemer_prime_set
2,2020-03-01,148.6,59,-0.1,▼,6.0,-0.1,4.0,2528.0,rhino_prime_set
