,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
24,2020-07-29,103.3,69,-7.4,▼,-24.0,-6.7,13.0,14515.0,nekros_prime_set
48,2020-07-29,31.3,21,-1.2,▼,-10.0,-3.7,6.0,4479.0,akjagara_prime_set
27,2020-07-29,99.5,222,-3.8,▼,-7.0,-3.7,-19.0,6723.0,inaros_prime_set
97,2020-07-29,91.2,91,-3.0,▼,-7.0,-3.2,19.0,1847.0,panthera_prime_set
2,2020-07-29,32.4,62,-0.8,▼,-21.0,-2.4,-18.0,16126.0,equinox_prime_set
30,2020-07-29,48.0,40,-1.2,▼,-7.0,-2.4,7.0,1098.0,corinth_prime_set
28,2020-07-29,45.0,37,-1.0,▼,-54.0,-2.2,19.0,8470.0,baza_prime_set
380,2020-07-29,43.9,19,-0.9,▼,18.0,-2.0,-1.0,2533.0,primed_reach
51,2020-07-29,94.2,19,-1.8,▼,17.0,-1.9,8.0,2794.0,akstiletto_prime_set
344,2020-07-29,40.9,12,-0.8,▼,5.0,-1.9,1.0,1632.0,primed_pistol_gambit
