,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
2,2020-02-27,148.4,68,0.3,▲,5.0,0.2,36.0,2358.0,rhino_prime_set
7,2020-02-27,41.8,76,0.2,▲,2.0,0.5,27.0,2754.0,chroma_prime_set
12,2020-02-27,127.6,40,2.0,▲,14.0,1.6,17.0,1816.0,nova_prime_set
13,2020-02-27,130.5,62,0.2,▲,19.0,0.2,14.0,3077.0,saryn_prime_set
17,2020-02-27,70.4,44,-0.1,▼,-3.0,-0.1,11.0,1936.0,ash_prime_set
22,2020-02-27,69.5,39,-1.1,▼,6.0,-1.6,10.0,1369.0,oberon_prime_set
16,2020-02-27,112.0,27,1.5,▲,15.0,1.4,10.0,1288.0,mag_prime_set
42,2020-02-27,45.1,15,0.1,▲,13.0,0.2,10.0,537.0,akbolto_prime_set
41,2020-02-27,35.4,21,-1.0,▼,12.0,-2.7,9.0,1015.0,zhuge_prime_set
24,2020-02-27,180.1,30,0.0,-,16.0,0.0,8.0,2043.0,volt_prime_set
