,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
560,560,2021-07-26,29.0,28,-0.4,▼,-8.0,-1.4,-5.0,12123.0,zhuge_prime_set
560,560,2021-07-26,64.2,10,0.5,▲,22.0,0.8,-6.0,6935.0,akbolto_prime_set
553,553,2021-07-26,13.6,6,0.2,▲,-17.0,1.5,1.0,3418.0,akbronco_prime_set
560,560,2021-07-26,69.8,15,1.1,▲,34.0,1.6,3.0,11049.0,akjagara_prime_set
559,559,2021-07-26,65.3,22,-1.4,▼,38.0,-2.1,11.0,5799.0,aklex_prime_set
560,560,2021-07-26,39.0,22,0.1,▲,-81.0,0.3,-12.0,15660.0,aksomati_prime_set
560,560,2021-07-26,138.7,12,-0.4,▼,39.0,-0.3,2.0,7079.0,akstiletto_prime_set
560,560,2021-07-26,88.4,10,-0.4,▼,44.0,-0.5,0.0,5349.0,akvasto_prime_set
560,560,2021-07-26,54.3,20,1.2,▲,43.0,2.3,13.0,7550.0,ballistica_prime_set
560,560,2021-07-26,12.8,29,-0.3,▼,-7.0,-2.3,10.0,10900.0,bronco_prime_set
560,560,2021-07-26,31.4,15,-0.4,▼,2.0,-1.3,-4.0,8743.0,euphona_prime_set
560,560,2021-07-26,67.7,11,-2.0,▼,50.0,-2.9,-2.0,6129.0,hikou_prime_set
560,560,2021-07-26,10.4,41,-0.2,▼,-9.0,-1.9,4.0,12782.0,lex_prime_set
560,560,2021-07-26,57.3,28,0.2,▲,50.0,0.4,-14.0,17700.0,pyrana_prime_set
560,560,2021-07-26,44.3,11,0.5,▲,22.0,1.1,2.0,6120.0,sicarus_prime_set
560,560,2021-07-26,156.5,13,-1.0,▼,40.0,-0.6,4.0,4802.0,spira_prime_set
560,560,2021-07-26,36.2,26,0.6,▲,23.0,1.7,-2.0,14347.0,vasto_prime_set
557,557,2021-07-26,145.6,6,-1.0,▼,91.0,-0.7,-1.0,4607.0,ankyros_prime_set
560,560,2021-07-26,56.9,29,-2.0,▼,53.0,-3.4,15.0,9213.0,dakra_prime_set
560,560,2021-07-26,46.4,14,0.7,▲,41.0,1.5,0.0,10101.0,destreza_prime_set
560,560,2021-07-26,116.3,12,0.6,▲,25.0,0.5,4.0,7606.0,dual_kamas_prime_set
560,560,2021-07-26,11.4,14,-0.7,▼,2.0,-5.8,3.0,5844.0,fang_prime_set
560,560,2021-07-26,43.0,13,0.0,-,45.0,0.0,-16.0,10057.0,fragor_prime_set
560,560,2021-07-26,48.9,26,0.0,-,17.0,0.0,5.0,10138.0,galatine_prime_set
560,560,2021-07-26,169.8,60,0.4,▲,75.0,0.2,3.0,14917.0,glaive_prime_set
560,560,2021-07-26,27.9,13,0.6,▲,26.0,2.2,-29.0,18079.0,gram_prime_set
559,559,2021-07-26,59.8,5,-0.9,▼,1.0,-1.5,-1.0,5672.0,kogake_prime_set
560,560,2021-07-26,88.6,57,0.9,▲,51.0,1.0,13.0,23897.0,kronen_prime_set
560,560,2021-07-26,138.5,20,-0.5,▼,53.0,-0.4,-4.0,8955.0,nami_skyla_prime_set
560,560,2021-07-26,131.8,43,-0.8,▼,89.0,-0.6,-17.0,20449.0,nikana_prime_set
560,560,2021-07-26,35.1,13,-0.2,▼,-17.0,-0.6,-13.0,13890.0,ninkondi_prime_set
560,560,2021-07-26,16.7,26,-0.6,▼,14.0,-3.5,1.0,18898.0,orthos_prime_set
560,560,2021-07-26,68.9,33,-0.3,▼,22.0,-0.4,-5.0,18754.0,reaper_prime_set
560,560,2021-07-26,49.1,30,-0.2,▼,40.0,-0.4,-5.0,31694.0,redeemer_prime_set
560,560,2021-07-26,44.3,7,1.1,▲,30.0,2.5,-9.0,7022.0,scindo_prime_set
560,560,2021-07-26,51.6,20,0.6,▲,7.0,1.2,-2.0,10965.0,silva_and_aegis_prime_set
560,560,2021-07-26,38.5,17,-0.5,▼,-33.0,-1.3,1.0,10034.0,tekko_prime_set
560,560,2021-07-26,43.3,16,-0.2,▼,-5.0,-0.5,4.0,8675.0,tipedo_prime_set
560,560,2021-07-26,108.6,21,1.0,▲,45.0,0.9,12.0,8814.0,venka_prime_set
531,531,2021-07-26,78.4,57,-1.6,▼,13.0,-2.0,6.0,23748.0,shedu_set
