,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
257,2020-11-25,33.3,61,-34.0,▼,5.0,-50.5,6.0,916.0,necramech_streamline
258,2020-11-25,50.5,16,-30.8,▼,-2.0,-37.9,-18.0,489.0,necramech_thrusters
137,2020-11-25,34.4,18,-1.5,▼,-10.0,-4.2,7.0,4742.0,secura_penta
91,2020-11-25,32.9,17,-1.1,▼,-8.0,-3.2,3.0,5114.0,tipedo_prime_set
160,2020-11-25,34.8,16,-1.1,▼,2.0,-3.1,1.0,3345.0,secura_lecta
72,2020-11-25,48.6,10,-1.4,▼,30.0,-2.8,-3.0,5503.0,dakra_prime_set
95,2020-11-25,34.1,12,-1.0,▼,16.0,-2.8,7.0,1344.0,dera_vandal_set
50,2020-11-25,35.1,11,-0.9,▼,14.0,-2.5,-3.0,4497.0,sybaris_prime_set
106,2020-11-25,40.6,31,-1.0,▼,-47.0,-2.4,8.0,6727.0,panthera_prime_set
94,2020-11-25,293.5,10,-6.0,▼,6.0,-2.0,2.0,1738.0,braton_vandal_set
