,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
268,268,2020-10-07,415.5,21,1.6,▲,80.0,0.4,0.0,7955.0,loki_prime_set
22,22,2020-10-07,20.2,36,0.0,-,-2.0,0.0,5.0,1125.0,dethcube_prime_set
22,22,2020-10-07,117.4,11,0.3,▲,9.0,0.3,-3.0,253.0,wyrm_prime_set
22,22,2020-10-07,85.1,24,-0.2,▼,8.0,-0.2,-9.0,982.0,helios_prime_set
22,22,2020-10-07,74.2,26,-0.8,▼,7.0,-1.1,8.0,639.0,carrier_prime_set
92,92,2020-10-07,41.1,41,-0.1,▼,-35.0,-0.2,-19.0,12664.0,titania_prime_set
268,268,2020-10-07,36.9,40,0.0,-,-23.0,0.0,-15.0,22762.0,equinox_prime_set
268,268,2020-10-07,183.6,36,2.3,▲,36.0,1.3,-4.0,16408.0,rhino_prime_set
268,268,2020-10-07,36.8,132,0.4,▲,-24.0,1.1,-15.0,33360.0,mesa_prime_set
268,268,2020-10-07,82.6,48,-2.4,▼,24.0,-2.8,-6.0,12147.0,ember_prime_set
268,268,2020-10-07,92.5,41,1.0,▲,54.0,1.1,-17.0,16219.0,limbo_prime_set
268,268,2020-10-07,39.3,49,-0.2,▼,-73.0,-0.5,-11.0,36117.0,ivara_prime_set
268,268,2020-10-07,68.2,41,-0.5,▼,20.0,-0.7,1.0,23055.0,chroma_prime_set
268,268,2020-10-07,119.1,25,5.0,▲,27.0,4.4,11.0,8410.0,nyx_prime_set
268,268,2020-10-07,81.6,66,-1.9,▼,17.0,-2.3,-14.0,9694.0,frost_prime_set
268,268,2020-10-07,38.7,50,0.3,▲,-35.0,0.8,22.0,16699.0,trinity_prime_set
268,268,2020-10-07,94.0,31,1.0,▲,15.0,1.1,-5.0,13123.0,hydroid_prime_set
268,268,2020-10-07,64.2,82,-0.7,▼,14.0,-1.1,29.0,18577.0,nova_prime_set
268,268,2020-10-07,173.5,59,0.9,▲,56.0,0.5,-16.0,22986.0,saryn_prime_set
268,268,2020-10-07,90.9,54,0.1,▲,59.0,0.1,7.0,18184.0,mirage_prime_set
268,268,2020-10-07,99.0,24,0.0,-,33.0,0.0,0.0,12350.0,valkyr_prime_set
268,268,2020-10-07,145.7,24,0.1,▲,44.0,0.1,-18.0,10414.0,mag_prime_set
268,268,2020-10-07,143.5,37,1.3,▲,60.0,0.9,5.0,12459.0,ash_prime_set
268,268,2020-10-07,70.2,32,0.0,-,43.0,0.0,12.0,9632.0,zephyr_prime_set
268,268,2020-10-07,32.7,63,-0.1,▼,-41.0,-0.3,-20.0,31311.0,wukong_prime_set
268,268,2020-10-07,167.4,38,-0.3,▼,30.0,-0.2,7.0,12476.0,vauban_prime_set
268,268,2020-10-07,90.4,33,0.4,▲,28.0,0.4,9.0,9725.0,banshee_prime_set
268,268,2020-10-07,74.2,29,-0.4,▼,4.0,-0.5,0.0,10653.0,oberon_prime_set
268,268,2020-10-07,142.4,55,0.9,▲,12.0,0.6,3.0,19874.0,nekros_prime_set
268,268,2020-10-07,161.6,42,0.9,▲,16.0,0.6,-32.0,16396.0,volt_prime_set
268,268,2020-10-07,34.4,47,-0.5,▼,-29.0,-1.4,-32.0,24269.0,atlas_prime_set
85,85,2020-10-07,61.6,118,-1.0,▼,-42.0,-1.6,15.0,19759.0,inaros_prime_set
268,268,2020-10-07,46.0,18,-0.3,▼,-65.0,-0.6,-15.0,11216.0,baza_prime_set
22,22,2020-10-07,41.1,13,0.0,-,-2.0,0.0,-20.0,577.0,stropha_set
22,22,2020-10-07,19.0,4,0.0,-,-5.0,0.0,-16.0,300.0,stahlta_set
92,92,2020-10-07,27.2,30,-0.8,▼,-9.0,-2.9,17.0,3414.0,pangolin_prime_set
92,92,2020-10-07,44.2,43,0.0,-,-26.0,0.0,1.0,5413.0,corinth_prime_set
268,268,2020-10-07,77.3,9,-0.9,▼,20.0,-1.2,0.0,3265.0,boar_prime_set
268,268,2020-10-07,64.0,8,1.0,▲,22.0,1.6,1.0,3422.0,boltor_prime_set
268,268,2020-10-07,7.4,10,-0.2,▼,-9.0,-2.6,-7.0,5401.0,braton_prime_set
268,268,2020-10-07,5.5,16,-0.2,▼,1.0,-3.5,6.0,3318.0,burston_prime_set
268,268,2020-10-07,57.5,14,0.5,▲,26.0,0.9,-5.0,3744.0,cernos_prime_set
268,268,2020-10-07,43.9,16,-0.5,▼,4.0,-1.1,9.0,3379.0,latron_prime_set
268,268,2020-10-07,9.8,13,-1.3,▼,4.0,-11.7,2.0,4847.0,paris_prime_set
268,268,2020-10-07,69.5,68,-0.2,▼,51.0,-0.3,6.0,16929.0,rubico_prime_set
268,268,2020-10-07,35.4,31,0.1,▲,-18.0,0.3,-10.0,7877.0,soma_prime_set
268,268,2020-10-07,12.0,10,0.3,▲,-13.0,2.6,-11.0,6790.0,stradavar_prime_set
268,268,2020-10-07,33.1,9,0.5,▲,8.0,1.5,-1.0,3903.0,sybaris_prime_set
