,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-05-05,53.8,134,-1.9,▼,-49.0,-3.4,-21.0,16494.0,ivara_prime_set
19,2020-05-05,31.5,93,-1.0,▼,-38.0,-3.1,-44.0,12157.0,wukong_prime_set
91,2020-05-05,54.2,14,-1.7,▼,-7.0,-3.0,5.0,838.0,pathocyst_set
122,2020-05-05,32.9,12,-1.0,▼,5.0,-2.9,-2.0,817.0,telos_boltor
92,2020-05-05,35.2,32,-1.0,▼,11.0,-2.8,-24.0,2100.0,imperator_vandal_set
297,2020-05-05,31.4,11,-0.9,▼,-5.0,-2.8,-12.0,154.0,shell_shock
334,2020-05-05,89.0,15,-2.5,▼,0.0,-2.7,-8.0,168.0,primed_pistol_gambit
26,2020-05-05,54.6,49,-1.4,▼,-34.0,-2.5,3.0,5153.0,baza_prime_set
242,2020-05-05,43.2,29,-1.0,▼,3.0,-2.3,12.0,2263.0,exodia_contagion
98,2020-05-05,36.4,11,-0.8,▼,3.0,-2.2,-5.0,1071.0,secura_penta
