,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
233,233,2020-09-02,350.4,37,0.9,▲,61.0,0.3,-3.0,6908.0,loki_prime_set
57,57,2020-09-02,49.9,171,-0.2,▼,-15.0,-0.4,-1.0,8623.0,titania_prime_set
233,233,2020-09-02,37.2,82,0.5,▲,-17.0,1.4,-1.0,19741.0,equinox_prime_set
233,233,2020-09-02,155.9,90,0.1,▲,9.0,0.1,-8.0,14292.0,rhino_prime_set
233,233,2020-09-02,36.0,198,0.3,▲,-25.0,0.8,-17.0,27098.0,mesa_prime_set
233,233,2020-09-02,159.4,48,0.0,-,24.0,0.0,-6.0,10168.0,ember_prime_set
233,233,2020-09-02,72.5,70,-0.5,▼,34.0,-0.7,1.0,14286.0,limbo_prime_set
233,233,2020-09-02,49.7,153,0.0,-,-58.0,0.0,-37.0,32068.0,ivara_prime_set
233,233,2020-09-02,49.4,121,0.0,-,-5.0,0.0,50.0,20162.0,chroma_prime_set
233,233,2020-09-02,97.6,49,-0.9,▼,12.0,-0.9,-2.0,7325.0,nyx_prime_set
233,233,2020-09-02,166.6,42,-1.0,▼,17.0,-0.6,-1.0,8071.0,frost_prime_set
233,233,2020-09-02,34.5,55,-0.1,▼,-30.0,-0.3,-7.0,13866.0,trinity_prime_set
233,233,2020-09-02,80.4,60,-1.0,▼,-1.0,-1.2,-1.0,11549.0,hydroid_prime_set
233,233,2020-09-02,55.7,83,-0.2,▼,11.0,-0.4,-36.0,15243.0,nova_prime_set
233,233,2020-09-02,150.2,131,0.6,▲,37.0,0.4,12.0,19553.0,saryn_prime_set
233,233,2020-09-02,70.0,86,0.5,▲,35.0,0.7,-21.0,15481.0,mirage_prime_set
233,233,2020-09-02,89.5,68,-0.1,▼,21.0,-0.1,16.0,10805.0,valkyr_prime_set
233,233,2020-09-02,137.3,58,0.4,▲,33.0,0.3,9.0,8981.0,mag_prime_set
233,233,2020-09-02,137.7,63,0.2,▲,55.0,0.1,-12.0,10914.0,ash_prime_set
