,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
317,2020-10-13,62.7,164,-0.3,▼,85.0,-0.5,-25.0,38399.0,arcane_energize
106,2020-10-13,34.5,135,0.2,▲,4.0,0.6,-48.0,4308.0,melee_riven_mod_(veiled)
8,2020-10-13,38.6,108,0.2,▲,-20.0,0.5,-11.0,34306.0,mesa_prime_set
31,2020-10-13,64.9,86,1.2,▲,-38.0,1.9,-42.0,20494.0,inaros_prime_set
318,2020-10-13,44.8,84,0.5,▲,28.0,1.1,-29.0,25035.0,arcane_grace
6,2020-10-13,35.2,84,0.0,-,-26.0,0.0,21.0,23185.0,equinox_prime_set
11,2020-10-13,37.8,77,-0.1,▼,-78.0,-0.3,25.0,36553.0,ivara_prime_set
19,2020-10-13,93.4,65,-0.1,▼,60.0,-0.1,11.0,18547.0,mirage_prime_set
28,2020-10-13,142.4,62,-0.1,▼,10.0,-0.1,6.0,20186.0,nekros_prime_set
9,2020-10-13,76.1,61,-0.1,▼,20.0,-0.1,-23.0,12654.0,ember_prime_set
