,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
25,2020-07-14,186.6,57,-2.5,▼,21.0,-1.3,-42.0,10033.0,volt_prime_set
24,2020-07-14,95.8,57,1.3,▲,-33.0,1.4,-24.0,13677.0,nekros_prime_set
12,2020-07-14,92.6,40,1.1,▲,10.0,1.2,-19.0,9523.0,hydroid_prime_set
2,2020-07-14,34.2,45,0.6,▲,-19.0,1.8,-13.0,15003.0,equinox_prime_set
15,2020-07-14,73.6,48,0.5,▲,36.0,0.7,-13.0,11781.0,mirage_prime_set
368,2020-07-14,30.6,20,0.5,▲,-10.0,1.7,-10.0,1858.0,primed_pressure_point
36,2020-07-14,56.3,12,-1.8,▼,7.0,-3.1,-8.0,2263.0,latron_prime_set
8,2020-07-14,46.1,70,0.4,▲,-7.0,0.9,-7.0,16106.0,chroma_prime_set
19,2020-07-14,59.0,18,0.1,▲,33.0,0.2,-6.0,6313.0,zephyr_prime_set
338,2020-07-14,71.2,12,-13.2,▼,4.0,-15.6,-6.0,1050.0,primed_target_cracker
