,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
299,2020-08-26,66.1,95,-19.8,▼,-2.0,-23.1,68.0,1617.0,argon_scope
420,2020-08-26,80.8,245,-20.9,▼,36.0,-20.6,66.0,8074.0,weeping_wounds
20,2020-08-26,33.4,143,-3.0,▼,-46.0,-8.2,23.0,25427.0,wukong_prime_set
4,2020-08-26,34.6,175,0.2,▲,-27.0,0.6,23.0,25511.0,mesa_prime_set
14,2020-08-26,150.1,75,0.5,▲,36.0,0.3,19.0,18752.0,saryn_prime_set
400,2020-08-26,45.7,27,-8.5,▼,-5.0,-15.7,17.0,542.0,maiming_strike
27,2020-08-26,72.6,215,3.0,▲,-22.0,4.3,11.0,13442.0,inaros_prime_set
50,2020-08-26,76.2,28,-0.5,▼,-43.0,-0.7,9.0,7541.0,aksomati_prime_set
159,2020-08-26,60.4,16,0.0,-,3.0,0.0,8.0,104.0,primed_animal_instinct
304,2020-08-26,39.8,22,-0.2,▼,3.0,-0.5,4.0,3403.0,hammer_shot
