,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
8,2020-10-15,41.6,183,2.6,▲,-18.0,6.7,73.0,34599.0,mesa_prime_set
31,2020-10-15,67.7,134,1.4,▲,-36.0,2.1,39.0,20723.0,inaros_prime_set
105,2020-10-15,35.0,182,0.0,-,5.0,0.0,34.0,4638.0,melee_riven_mod_(veiled)
54,2020-10-15,37.6,48,1.7,▲,-6.0,4.7,28.0,6677.0,akjagara_prime_set
107,2020-10-15,30.1,179,0.0,-,-3.0,0.0,24.0,3760.0,rifle_riven_mod_(veiled)
29,2020-10-15,167.4,50,-0.2,▼,20.0,-0.1,19.0,16784.0,volt_prime_set
14,2020-10-15,73.4,76,-1.7,▼,9.0,-2.3,18.0,10200.0,frost_prime_set
468,2020-10-15,56.0,35,0.0,-,9.0,0.0,15.0,6195.0,bullet_dance
85,2020-10-15,47.2,25,0.0,-,-3.0,0.0,14.0,5669.0,silva_and_aegis_prime_set
74,2020-10-15,52.2,20,-2.3,▼,-1.0,-4.2,13.0,3160.0,glaive_prime_set
