,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-02-23,111.6,138,-1.7,▼,-10.0,-1.5,8.0,5488.0,ivara_prime_set
19,2020-02-23,59.7,121,-0.7,▼,1.0,-1.2,26.0,3785.0,wukong_prime_set
25,2020-02-23,57.1,93,-1.0,▼,3.0,-1.7,2.0,3541.0,atlas_prime_set
3,2020-02-23,50.1,106,0.0,-,-1.0,0.0,49.0,3087.0,mesa_prime_set
13,2020-02-23,128.9,116,0.2,▲,16.0,0.2,77.0,2839.0,saryn_prime_set
1,2020-02-23,49.6,83,0.0,-,5.0,0.0,36.0,2611.0,equinox_prime_set
7,2020-02-23,42.3,54,-0.5,▼,1.0,-1.2,-18.0,2518.0,chroma_prime_set
2,2020-02-23,148.1,66,-0.7,▼,4.0,-0.5,19.0,2164.0,rhino_prime_set
14,2020-02-23,60.8,50,-0.2,▼,15.0,-0.3,-32.0,2102.0,mirage_prime_set
5,2020-02-23,49.6,69,0.0,-,8.0,0.0,8.0,2087.0,limbo_prime_set
