,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
26,2020-02-10,100.5,25,-1.3,▼,-13.0,-1.3,-31.0,1244.0,baza_prime_set
13,2020-02-10,126.3,56,-0.5,▼,15.0,-0.4,-28.0,1796.0,saryn_prime_set
24,2020-02-10,175.7,35,2.0,▲,14.0,1.2,-27.0,1225.0,volt_prime_set
10,2020-02-10,110.3,39,2.0,▲,10.0,1.8,-20.0,1195.0,trinity_prime_set
6,2020-02-10,119.0,115,1.6,▲,-6.0,1.4,-19.0,3807.0,ivara_prime_set
19,2020-02-10,58.8,79,0.6,▲,0.0,1.0,-19.0,2440.0,wukong_prime_set
11,2020-02-10,94.8,48,0.0,-,4.0,0.0,-18.0,1126.0,hydroid_prime_set
1,2020-02-10,48.8,43,-0.1,▼,3.0,-0.2,-16.0,1625.0,equinox_prime_set
40,2020-02-10,41.4,18,0.3,▲,-2.0,0.7,-15.0,510.0,vectis_prime_set
9,2020-02-10,156.0,28,-1.0,▼,8.0,-0.6,-14.0,862.0,frost_prime_set
