,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
23,2020-04-04,83.7,100,0.0,-,-35.0,0.0,-9.0,4989.0,nekros_prime_set
6,2020-04-04,77.2,201,-3.3,▼,-30.0,-4.1,0.0,11749.0,ivara_prime_set
46,2020-04-04,121.3,58,-1.4,▼,-20.0,-1.1,4.0,2675.0,aksomati_prime_set
26,2020-04-04,75.4,60,-2.5,▼,-19.0,-3.2,-30.0,3713.0,baza_prime_set
19,2020-04-04,44.9,152,-1.0,▼,-19.0,-2.2,-2.0,8148.0,wukong_prime_set
76,2020-04-04,30.1,33,-1.4,▼,-18.0,-4.4,1.0,1671.0,silva_and_aegis_prime_set
22,2020-04-04,45.9,54,-0.8,▼,-17.0,-1.7,9.0,2952.0,oberon_prime_set
7,2020-04-04,34.0,115,0.0,-,-16.0,0.0,-2.0,5611.0,chroma_prime_set
3,2020-04-04,42.2,214,-0.1,▼,-15.0,-0.2,52.0,7318.0,mesa_prime_set
80,2020-04-04,53.9,156,-3.2,▼,-12.0,-5.6,5.0,3815.0,shedu_set
