,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
111,2021-01-20,30.5,149,0.0,-,-9.0,0.0,0.0,20590.0,melee_riven_mod_(veiled)
322,2021-01-20,37.4,148,0.8,▲,91.0,2.2,-44.0,53661.0,arcane_energize
7,2021-01-20,30.9,91,0.5,▲,-31.0,1.6,-1.0,31285.0,equinox_prime_set
30,2021-01-20,171.6,83,1.1,▲,25.0,0.6,42.0,21436.0,volt_prime_set
9,2021-01-20,60.3,71,0.8,▲,-1.0,1.3,-12.0,44080.0,mesa_prime_set
25,2021-01-20,37.8,70,0.7,▲,-33.0,1.9,-3.0,41116.0,wukong_prime_set
18,2021-01-20,79.3,68,0.1,▲,45.0,0.1,41.0,23132.0,nova_prime_set
5,2021-01-20,58.6,68,0.7,▲,-36.0,1.2,15.0,14019.0,nezha_prime_set
19,2021-01-20,171.8,62,0.5,▲,64.0,0.3,15.0,29352.0,saryn_prime_set
47,2021-01-20,61.8,61,-0.3,▼,50.0,-0.5,24.0,22543.0,rubico_prime_set
