,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
1,2020-07-10,68.4,107,0.1,▲,1.0,0.1,44.0,285.0,titania_prime_set
20,2020-07-10,34.9,103,-3.2,▼,-38.0,-8.4,25.0,19358.0,wukong_prime_set
17,2020-07-10,138.9,35,0.4,▲,28.0,0.3,17.0,6625.0,mag_prime_set
231,2020-07-10,33.2,75,0.4,▲,15.0,1.2,15.0,13488.0,arcane_grace
78,2020-07-10,44.2,16,0.8,▲,17.0,1.8,14.0,2101.0,scindo_prime_set
4,2020-07-10,37.5,88,-0.2,▼,-22.0,-0.5,14.0,18806.0,mesa_prime_set
12,2020-07-10,91.4,44,0.0,-,9.0,0.0,13.0,9338.0,hydroid_prime_set
21,2020-07-10,159.5,35,-0.9,▼,29.0,-0.6,11.0,8073.0,vauban_prime_set
64,2020-07-10,70.7,26,0.0,-,-6.0,0.0,11.0,2292.0,dual_kamas_prime_set
9,2020-07-10,94.3,33,0.0,-,14.0,0.0,11.0,5412.0,nyx_prime_set
