,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
207,207,2020-08-07,350.4,38,-0.7,▼,61.0,-0.2,loki_prime_set
207,207,2020-08-07,34.7,138,0.2,▲,-20.0,0.6,equinox_prime_set
207,207,2020-08-07,157.2,65,0.6,▲,9.0,0.4,rhino_prime_set
207,207,2020-08-07,36.5,179,0.2,▲,-23.0,0.6,mesa_prime_set
207,207,2020-08-07,162.8,58,-1.0,▼,28.0,-0.6,ember_prime_set
207,207,2020-08-07,73.3,54,0.1,▲,38.0,0.1,limbo_prime_set
207,207,2020-08-07,47.7,161,0.2,▲,-52.0,0.4,ivara_prime_set
207,207,2020-08-07,41.7,102,0.8,▲,-14.0,2.0,chroma_prime_set
207,207,2020-08-07,100.7,45,0.5,▲,20.0,0.5,nyx_prime_set
207,207,2020-08-07,176.4,34,-0.4,▼,26.0,-0.2,frost_prime_set
207,207,2020-08-07,45.2,53,0.0,-,-15.0,0.0,trinity_prime_set
207,207,2020-08-07,80.1,46,-1.0,▼,1.0,-1.2,hydroid_prime_set
207,207,2020-08-07,60.4,88,0.4,▲,21.0,0.7,nova_prime_set
207,207,2020-08-07,151.4,96,1.3,▲,39.0,0.9,saryn_prime_set
207,207,2020-08-07,72.7,64,-0.8,▼,38.0,-1.1,mirage_prime_set
207,207,2020-08-07,93.5,57,-0.8,▼,30.0,-0.8,valkyr_prime_set
207,207,2020-08-07,142.5,42,0.5,▲,35.0,0.4,mag_prime_set
207,207,2020-08-07,146.0,34,1.8,▲,65.0,1.2,ash_prime_set
207,207,2020-08-07,59.7,56,-0.1,▼,37.0,-0.2,zephyr_prime_set
207,207,2020-08-07,38.5,174,4.3,▲,-42.0,12.6,wukong_prime_set
207,207,2020-08-07,166.2,42,-1.0,▼,35.0,-0.6,vauban_prime_set
207,207,2020-08-07,91.3,55,0.1,▲,24.0,0.1,banshee_prime_set
207,207,2020-08-07,58.2,29,-0.2,▼,-8.0,-0.3,oberon_prime_set
207,207,2020-08-07,106.3,73,1.5,▲,-21.0,1.4,nekros_prime_set
207,207,2020-08-07,161.4,94,-1.0,▼,7.0,-0.6,volt_prime_set
207,207,2020-08-07,35.5,140,0.9,▲,-24.0,2.6,atlas_prime_set
24,24,2020-08-07,104.9,258,-5.8,▼,-6.0,-5.2,inaros_prime_set
207,207,2020-08-07,51.6,49,2.2,▲,-52.0,4.5,baza_prime_set
207,207,2020-08-07,77.4,17,0.5,▲,16.0,0.7,boar_prime_set
207,207,2020-08-07,56.8,17,0.9,▲,8.0,1.6,boltor_prime_set
207,207,2020-08-07,8.0,26,-0.2,▼,-5.0,-2.4,braton_prime_set
207,207,2020-08-07,8.2,22,-0.1,▼,7.0,-1.2,burston_prime_set
207,207,2020-08-07,61.5,11,-0.4,▼,22.0,-0.6,cernos_prime_set
207,207,2020-08-07,62.9,19,-0.2,▼,11.0,-0.3,latron_prime_set
207,207,2020-08-07,10.1,12,-0.3,▼,-1.0,-2.9,paris_prime_set
207,207,2020-08-07,36.5,59,0.9,▲,17.0,2.5,rubico_prime_set
207,207,2020-08-07,38.0,26,-0.1,▼,-19.0,-0.3,soma_prime_set
207,207,2020-08-07,16.1,30,-0.4,▼,-8.0,-2.4,stradavar_prime_set
207,207,2020-08-07,31.2,14,-0.2,▼,0.0,-0.6,sybaris_prime_set
207,207,2020-08-07,43.7,26,0.7,▲,20.0,1.6,tiberon_prime_set
207,207,2020-08-07,39.4,26,0.1,▲,6.0,0.3,tigris_prime_set
207,207,2020-08-07,109.6,28,0.7,▲,30.0,0.6,vectis_prime_set
207,207,2020-08-07,27.9,20,0.1,▲,-6.0,0.4,zhuge_prime_set
207,207,2020-08-07,57.9,12,1.3,▲,21.0,2.3,akbolto_prime_set
202,202,2020-08-07,13.5,6,0.0,-,-2.0,0.0,akbronco_prime_set
207,207,2020-08-07,36.2,28,-0.5,▼,-7.0,-1.4,akjagara_prime_set
206,206,2020-08-07,49.2,12,0.1,▲,-3.0,0.2,aklex_prime_set
207,207,2020-08-07,80.9,35,1.9,▲,-35.0,2.4,aksomati_prime_set
207,207,2020-08-07,94.1,19,0.5,▲,18.0,0.5,akstiletto_prime_set
207,207,2020-08-07,130.9,13,2.3,▲,10.0,1.8,akvasto_prime_set
207,207,2020-08-07,40.8,10,0.8,▲,24.0,2.0,ballistica_prime_set
207,207,2020-08-07,11.7,20,0.1,▲,4.0,0.9,bronco_prime_set
207,207,2020-08-07,71.5,24,0.5,▲,18.0,0.7,euphona_prime_set
207,207,2020-08-07,63.5,17,0.0,-,0.0,0.0,hikou_prime_set
207,207,2020-08-07,8.4,37,-0.1,▼,-10.0,-1.2,lex_prime_set
207,207,2020-08-07,35.8,35,0.9,▲,27.0,2.6,pyrana_prime_set
