,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
95,2020-08-07,73.2,98,-6.4,▼,-7.0,-8.0,karyst_prime_set
94,2020-08-07,98.1,94,-6.9,▼,-6.0,-6.6,panthera_prime_set
26,2020-08-07,104.9,258,-5.8,▼,-6.0,-5.2,inaros_prime_set
92,2020-08-07,50.9,16,-1.6,▼,-7.0,-3.0,pathocyst_set
64,2020-08-07,33.5,34,-1.0,▼,23.0,-2.9,fragor_prime_set
400,2020-08-07,51.5,40,-1.5,▼,7.0,-2.8,bullet_dance
167,2020-08-07,46.0,16,-1.0,▼,2.0,-2.1,energy_conversion
108,2020-08-07,31.0,23,-0.5,▼,-5.0,-1.6,synoid_gammacor
122,2020-08-07,31.7,17,-0.5,▼,3.0,-1.6,vaykor_sydon
378,2020-08-07,39.7,16,-0.6,▼,1.0,-1.5,primed_pressure_point
