,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
0,17,2020-08-07,146.0,34,1.8,▲,65.0,1.2,ash_prime_set
1,0,2020-08-07,350.4,38,-0.7,▼,61.0,-0.2,loki_prime_set
2,69,2020-08-07,168.2,65,0.4,▲,57.0,0.2,kronen_prime_set
3,227,2020-08-07,43.9,66,0.3,▲,50.0,0.7,arcane_energize
4,59,2020-08-07,92.5,22,0.3,▲,45.0,0.3,ankyros_prime_set
5,393,2020-08-07,127.1,110,-1.8,▼,41.0,-1.4,weeping_wounds
6,71,2020-08-07,88.4,60,0.6,▲,40.0,0.7,nikana_prime_set
7,13,2020-08-07,151.4,96,1.3,▲,39.0,0.9,saryn_prime_set
8,186,2020-08-07,40.7,31,0.8,▲,39.0,2.0,primed_flow
9,5,2020-08-07,73.3,54,0.1,▲,38.0,0.1,limbo_prime_set
