,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
28,2020-08-01,43.3,40,-0.4,▼,-57.0,-0.9,-4.0,8587.0,baza_prime_set
7,2020-08-01,41.0,150,0.0,-,-56.0,0.0,37.0,26963.0,ivara_prime_set
50,2020-08-01,67.0,35,0.2,▲,-41.0,0.3,4.0,6713.0,aksomati_prime_set
26,2020-08-01,30.6,115,1.3,▲,-28.0,4.4,51.0,17843.0,atlas_prime_set
4,2020-08-01,35.5,144,0.4,▲,-26.0,1.1,-19.0,21337.0,mesa_prime_set
2,2020-08-01,31.0,79,-0.3,▼,-24.0,-1.0,-9.0,16367.0,equinox_prime_set
24,2020-08-01,104.2,64,-1.6,▼,-23.0,-1.5,1.0,14698.0,nekros_prime_set
81,2020-08-01,41.5,30,0.5,▲,-21.0,1.2,16.0,3651.0,tekko_prime_set
39,2020-08-01,36.6,33,-0.9,▼,-20.0,-2.4,9.0,5030.0,soma_prime_set
11,2020-08-01,36.7,32,0.3,▲,-19.0,0.8,-36.0,11490.0,trinity_prime_set
