,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
233,2020-08-01,44.9,57,0.0,-,25.0,0.0,-65.0,16489.0,arcane_grace
232,2020-08-01,42.7,99,0.1,▲,48.0,0.2,-43.0,24830.0,arcane_energize
11,2020-08-01,36.7,32,0.3,▲,-19.0,0.8,-36.0,11490.0,trinity_prime_set
399,2020-08-01,52.0,21,-1.0,▼,8.0,-1.9,-19.0,3201.0,bullet_dance
4,2020-08-01,35.5,144,0.4,▲,-26.0,1.1,-19.0,21337.0,mesa_prime_set
5,2020-08-01,165.6,27,1.0,▲,32.0,0.6,-15.0,8448.0,ember_prime_set
0,2020-08-01,346.7,12,0.5,▲,57.0,0.1,-13.0,5821.0,loki_prime_set
67,2020-08-01,33.2,13,0.7,▲,22.0,2.2,-11.0,3485.0,fragor_prime_set
113,2020-08-01,60.4,37,-10.4,▼,17.0,-14.7,-10.0,1140.0,prisma_grinlok
18,2020-08-01,144.5,42,-0.5,▼,65.0,-0.3,-9.0,9109.0,ash_prime_set
