,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
153,2020-03-27,35.5,49,1.4,▲,3.0,4.1,11.0,159.0,augur_secrets
184,2020-03-27,42.5,36,1.5,▲,3.0,3.7,15.0,73.0,primed_flow
183,2020-03-27,44.7,18,1.6,▲,3.0,3.7,-16.0,79.0,primed_continuity
119,2020-03-27,35.9,15,1.0,▲,-4.0,2.9,14.0,431.0,sancti_magistar
31,2020-03-27,44.3,44,1.0,▲,5.0,2.3,38.0,774.0,cernos_prime_set
40,2020-03-27,71.2,17,1.5,▲,-6.0,2.2,-1.0,1563.0,vectis_prime_set
73,2020-03-27,101.9,24,1.7,▲,14.0,1.7,-2.0,1945.0,reaper_prime_set
28,2020-03-27,47.2,14,0.8,▲,-1.0,1.7,-1.0,851.0,boltor_prime_set
45,2020-03-27,58.8,13,1.0,▲,5.0,1.7,8.0,654.0,aklex_prime_set
46,2020-03-27,122.9,24,1.8,▲,-18.0,1.5,0.0,2303.0,aksomati_prime_set
