,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
154,154,2020-06-15,323.3,28,-4.0,▼,41.0,-1.2,-5.0,4690.0,loki_prime_set
154,154,2020-06-15,30.8,45,-0.5,▼,-21.0,-1.6,-61.0,12896.0,equinox_prime_set
154,154,2020-06-15,159.8,42,-1.0,▼,13.0,-0.6,-25.0,9720.0,rhino_prime_set
154,154,2020-06-15,38.0,69,-0.2,▼,-25.0,-0.5,-21.0,16112.0,mesa_prime_set
154,154,2020-06-15,168.0,36,-1.5,▼,37.0,-0.9,-11.0,6669.0,ember_prime_set
154,154,2020-06-15,66.5,54,-1.0,▼,27.0,-1.5,-7.0,10123.0,limbo_prime_set
154,154,2020-06-15,49.8,107,0.0,-,-48.0,0.0,-38.0,21917.0,ivara_prime_set
154,154,2020-06-15,32.8,63,-0.4,▼,-20.0,-1.2,-80.0,13313.0,chroma_prime_set
154,154,2020-06-15,92.0,26,1.0,▲,12.0,1.1,-16.0,4728.0,nyx_prime_set
154,154,2020-06-15,184.5,32,-0.5,▼,42.0,-0.3,0.0,5419.0,frost_prime_set
154,154,2020-06-15,43.0,62,-0.5,▼,-8.0,-1.1,-14.0,8610.0,trinity_prime_set
154,154,2020-06-15,90.9,48,-1.1,▼,5.0,-1.2,5.0,8231.0,hydroid_prime_set
154,154,2020-06-15,64.2,83,0.3,▲,18.0,0.5,10.0,9180.0,nova_prime_set
154,154,2020-06-15,144.9,88,-1.2,▼,33.0,-0.8,-7.0,12870.0,saryn_prime_set
154,154,2020-06-15,71.3,30,-0.7,▼,31.0,-1.0,-42.0,10079.0,mirage_prime_set
154,154,2020-06-15,91.9,25,-1.3,▼,26.0,-1.4,-23.0,7037.0,valkyr_prime_set
154,154,2020-06-15,127.3,37,-1.5,▼,20.0,-1.2,2.0,5745.0,mag_prime_set
154,154,2020-06-15,118.7,36,-1.5,▼,44.0,-1.2,-29.0,7002.0,ash_prime_set
154,154,2020-06-15,57.7,22,-0.1,▼,31.0,-0.2,-13.0,5490.0,zephyr_prime_set
154,154,2020-06-15,33.5,79,0.0,-,-38.0,0.0,-40.0,16731.0,wukong_prime_set
154,154,2020-06-15,165.0,46,-0.8,▼,35.0,-0.5,-12.0,7083.0,vauban_prime_set
154,154,2020-06-15,85.9,20,0.2,▲,14.0,0.2,-37.0,5392.0,banshee_prime_set
154,154,2020-06-15,42.9,39,-0.6,▼,-24.0,-1.4,-2.0,6407.0,oberon_prime_set
154,154,2020-06-15,84.5,65,-0.4,▼,-47.0,-0.5,-39.0,11755.0,nekros_prime_set
154,154,2020-06-15,194.8,40,-1.0,▼,23.0,-0.5,-24.0,8495.0,volt_prime_set
154,154,2020-06-15,27.8,64,-0.1,▼,-30.0,-0.4,-33.0,14473.0,atlas_prime_set
