,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
35,2020-12-03,37.2,11,-0.3,▼,-8.0,-0.8,-18.0,1940.0,stropha_set
15,2020-12-03,63.5,38,0.0,-,-14.0,0.0,-17.0,13401.0,frost_prime_set
37,2020-12-03,59.6,24,-0.1,▼,-19.0,-0.2,-16.0,2615.0,zakti_prime_set
48,2020-12-03,49.3,11,0.9,▲,-6.0,1.9,-16.0,9515.0,soma_prime_set
93,2020-12-03,69.2,12,0.0,-,7.0,0.0,-14.0,16203.0,shedu_set
19,2020-12-03,171.4,61,0.1,▲,58.0,0.1,-12.0,26673.0,saryn_prime_set
113,2020-12-03,33.3,24,0.5,▲,11.0,1.5,-12.0,2101.0,shotgun_riven_mod_(veiled)
34,2020-12-03,62.7,40,-1.2,▼,-19.0,-1.9,-11.0,4663.0,guandao_prime_set
20,2020-12-03,92.8,47,0.1,▲,58.0,0.1,-11.0,21337.0,mirage_prime_set
28,2020-12-03,72.0,27,0.4,▲,-1.0,0.6,-11.0,12245.0,oberon_prime_set
