,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
19,2020-04-07,43.3,176,-0.5,▼,-22.0,-1.1,39.0,8633.0,wukong_prime_set
6,2020-04-07,71.0,172,-0.7,▼,-33.0,-1.0,-16.0,12316.0,ivara_prime_set
3,2020-04-07,40.0,146,-0.1,▼,-18.0,-0.2,30.0,7752.0,mesa_prime_set
23,2020-04-07,83.5,130,-0.5,▼,-36.0,-0.6,28.0,5315.0,nekros_prime_set
256,2020-04-07,38.9,125,0.0,-,0.0,0.0,0.0,0.0,exodia_contagion
1,2020-04-07,37.3,124,-0.7,▼,-13.0,-1.8,-12.0,6184.0,equinox_prime_set
13,2020-04-07,137.3,114,-0.1,▼,23.0,-0.1,-17.0,6789.0,saryn_prime_set
5,2020-04-07,59.2,108,0.2,▲,16.0,0.3,-1.0,5867.0,limbo_prime_set
25,2020-04-07,39.0,90,-0.3,▼,-13.0,-0.8,-31.0,7870.0,atlas_prime_set
156,2020-04-07,35.7,89,-0.5,▼,3.0,-1.4,-15.0,1036.0,augur_secrets
