,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
10,2020-11-17,59.7,83,0.7,▲,7.0,1.2,45.0,15087.0,ember_prime_set
25,2020-11-17,34.1,88,-0.2,▼,-37.0,-0.6,34.0,35112.0,wukong_prime_set
9,2020-11-17,49.7,97,-0.6,▼,-13.0,-1.2,32.0,38954.0,mesa_prime_set
28,2020-11-17,73.4,37,-0.5,▼,0.0,-0.7,18.0,11828.0,oberon_prime_set
93,2020-11-17,71.8,39,-1.8,▼,12.0,-2.4,18.0,15803.0,shedu_set
18,2020-11-17,73.1,48,0.8,▲,27.0,1.1,17.0,20492.0,nova_prime_set
5,2020-11-17,87.3,179,-1.5,▼,-13.0,-1.7,17.0,6121.0,nezha_prime_set
13,2020-11-17,69.8,54,0.2,▲,22.0,0.3,17.0,25241.0,chroma_prime_set
23,2020-11-17,150.1,33,0.0,-,68.0,0.0,16.0,13722.0,ash_prime_set
360,2020-11-17,38.6,18,-2.5,▼,2.0,-6.1,14.0,1914.0,primed_charged_shell
