,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
314,2020-09-19,56.4,200,1.7,▲,73.0,3.1,90.0,34569.0,arcane_energize
11,2020-09-19,40.4,132,-0.7,▼,-70.0,-1.7,35.0,34566.0,ivara_prime_set
8,2020-09-19,35.2,188,0.2,▲,-27.0,0.6,8.0,30493.0,mesa_prime_set
24,2020-09-19,30.9,111,-0.8,▼,-43.0,-2.5,-17.0,29238.0,wukong_prime_set
30,2020-09-19,34.4,81,-0.5,▼,-31.0,-1.4,-4.0,22969.0,atlas_prime_set
315,2020-09-19,49.0,97,0.1,▲,34.0,0.2,43.0,22775.0,arcane_grace
12,2020-09-19,59.2,84,0.1,▲,10.0,0.2,6.0,21838.0,chroma_prime_set
18,2020-09-19,157.8,118,1.4,▲,39.0,0.9,49.0,21555.0,saryn_prime_set
6,2020-09-19,35.1,99,-0.1,▼,-25.0,-0.3,0.0,21390.0,equinox_prime_set
28,2020-09-19,128.8,68,-0.1,▼,-1.0,-0.1,8.0,18675.0,nekros_prime_set
