,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
28,2020-07-22,46.3,31,-0.5,▼,-52.0,-1.1,-1.0,8249.0,baza_prime_set
7,2020-07-22,42.3,108,-1.0,▼,-52.0,-2.3,1.0,26029.0,ivara_prime_set
50,2020-07-22,70.6,33,-1.0,▼,-41.0,-1.4,-1.0,6472.0,aksomati_prime_set
24,2020-07-22,101.2,44,0.5,▲,-26.0,0.5,2.0,14117.0,nekros_prime_set
2,2020-07-22,31.9,72,-0.1,▼,-23.0,-0.3,0.0,15667.0,equinox_prime_set
4,2020-07-22,36.4,144,0.2,▲,-23.0,0.6,27.0,20003.0,mesa_prime_set
39,2020-07-22,36.6,29,0.0,-,-18.0,0.0,-5.0,4759.0,soma_prime_set
23,2020-07-22,49.2,38,-4.3,▼,-16.0,-8.0,-18.0,7661.0,oberon_prime_set
81,2020-07-22,46.8,14,-0.5,▼,-16.0,-1.1,-4.0,3486.0,tekko_prime_set
11,2020-07-22,38.1,46,-0.1,▼,-15.0,-0.3,-14.0,10927.0,trinity_prime_set
