,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
25,2020-06-11,30.8,56,0.0,-,-26.0,0.0,-44.0,14151.0,atlas_prime_set
5,2020-06-11,70.1,41,0.0,-,31.0,0.0,-26.0,9903.0,limbo_prime_set
373,2020-06-11,92.2,50,-1.8,▼,17.0,-1.9,-19.0,2522.0,weeping_wounds
75,2020-06-11,30.6,13,-0.3,▼,-22.0,-1.0,-18.0,3191.0,silva_and_aegis_prime_set
26,2020-06-11,51.4,25,0.0,-,-41.0,0.0,-18.0,6790.0,baza_prime_set
360,2020-06-11,86.7,11,-0.5,▼,4.0,-0.6,-13.0,1052.0,primed_pressure_point
76,2020-06-11,50.2,10,-0.7,▼,-16.0,-1.4,-13.0,2757.0,tekko_prime_set
20,2020-06-11,166.9,37,-1.5,▼,38.0,-0.9,-12.0,6887.0,vauban_prime_set
45,2020-06-11,81.4,18,0.2,▲,-36.0,0.2,-11.0,5221.0,aksomati_prime_set
19,2020-06-11,33.0,73,-1.0,▼,-38.0,-2.9,-11.0,16286.0,wukong_prime_set
