,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
19,2020-04-13,39.5,136,0.0,-,-27.0,0.0,46.0,9333.0,wukong_prime_set
18,2020-04-13,51.1,58,0.8,▲,28.0,1.6,30.0,3113.0,zephyr_prime_set
3,2020-04-13,40.1,166,0.1,▲,-17.0,0.2,22.0,8685.0,mesa_prime_set
182,2020-04-13,60.9,91,2.0,▲,18.0,3.4,16.0,966.0,primed_continuity
155,2020-04-13,32.5,97,-0.1,▼,-3.0,-0.3,15.0,1485.0,augur_secrets
121,2020-04-13,39.0,24,1.0,▲,-1.0,2.6,13.0,651.0,sancti_magistar
14,2020-04-13,68.6,65,0.3,▲,29.0,0.4,11.0,5406.0,mirage_prime_set
13,2020-04-13,139.4,114,-0.1,▼,26.0,-0.1,10.0,7430.0,saryn_prime_set
86,2020-04-13,53.2,12,2.8,▲,6.0,5.6,9.0,335.0,strun_wraith_set
8,2020-04-13,86.0,44,0.0,-,3.0,0.0,8.0,2585.0,nyx_prime_set
