,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
307,2020-11-19,72.3,59,0.3,▲,102.0,0.4,-68.0,43545.0,arcane_energize
107,2020-11-19,34.5,105,0.4,▲,-1.0,1.2,-42.0,11302.0,melee_riven_mod_(veiled)
47,2020-11-19,64.5,19,0.9,▲,48.0,1.4,-41.0,19333.0,rubico_prime_set
15,2020-11-19,63.6,51,-0.7,▼,-6.0,-1.1,-22.0,12607.0,frost_prime_set
7,2020-11-19,31.7,92,-0.2,▼,-32.0,-0.6,-18.0,26178.0,equinox_prime_set
26,2020-11-19,174.9,18,0.0,-,40.0,0.0,-16.0,13955.0,vauban_prime_set
308,2020-11-19,43.3,43,0.2,▲,25.0,0.5,-15.0,27953.0,arcane_grace
10,2020-11-19,59.2,61,-0.2,▼,5.0,-0.3,-11.0,15220.0,ember_prime_set
275,2020-11-19,87.6,16,-0.4,▼,74.0,-0.5,-11.0,6537.0,primed_flow
87,2020-11-19,30.7,47,0.0,-,5.0,0.0,-11.0,18832.0,redeemer_prime_set
