,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
4,2020-09-06,36.6,208,0.0,-,-24.0,0.0,63.0,27832.0,mesa_prime_set
20,2020-09-06,34.4,203,1.0,▲,-40.0,3.0,12.0,27383.0,wukong_prime_set
27,2020-09-06,80.9,199,-1.4,▼,-24.0,-1.7,-22.0,15704.0,inaros_prime_set
7,2020-09-06,47.5,172,-1.1,▼,-60.0,-2.3,-26.0,32714.0,ivara_prime_set
1,2020-09-06,49.3,172,-0.1,▼,-17.0,-0.2,2.0,9215.0,titania_prime_set
320,2020-09-06,50.0,169,0.0,-,63.0,0.0,-76.0,32400.0,arcane_energize
11,2020-09-06,33.2,116,-0.5,▼,-34.0,-1.5,52.0,14182.0,trinity_prime_set
8,2020-09-06,51.4,110,0.6,▲,-1.0,1.2,-18.0,20647.0,chroma_prime_set
14,2020-09-06,150.1,110,0.0,-,36.0,0.0,10.0,19983.0,saryn_prime_set
321,2020-09-06,47.0,107,0.8,▲,29.0,1.7,-31.0,21448.0,arcane_grace
