,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
265,2020-12-27,49.2,81,-2.8,▼,-14.0,-5.4,-3.0,1625.0,necramech_thrusters
64,2020-12-27,44.4,18,-2.4,▼,15.0,-5.1,3.0,5038.0,euphona_prime_set
51,2020-12-27,44.9,17,-1.9,▼,25.0,-4.1,5.0,5679.0,tiberon_prime_set
110,2020-12-27,71.3,12,-2.7,▼,4.0,-3.6,-3.0,124.0,ceti_lacera_blueprint
72,2020-12-27,50.3,22,-1.7,▼,34.0,-3.3,14.0,5912.0,dakra_prime_set
165,2020-12-27,33.1,17,-1.0,▼,8.0,-2.9,5.0,3716.0,secura_lecta
164,2020-12-27,31.7,19,-0.9,▼,2.0,-2.8,7.0,3381.0,telos_boltor
52,2020-12-27,42.4,21,-1.2,▼,11.0,-2.8,3.0,7482.0,tigris_prime_set
264,2020-12-27,37.8,186,-1.0,▼,-2.0,-2.6,37.0,3797.0,necramech_streamline
5,2020-12-27,76.9,136,-2.0,▼,-17.0,-2.5,23.0,11580.0,nezha_prime_set
