,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
33,2020-12-27,35.7,25,1.2,▲,-81.0,3.5,1.0,13093.0,baza_prime_set
12,2020-12-27,34.0,98,0.1,▲,-81.0,0.3,45.0,41904.0,ivara_prime_set
59,2020-12-27,50.1,26,0.9,▲,-70.0,1.8,3.0,10371.0,aksomati_prime_set
6,2020-12-27,31.5,104,-0.1,▼,-51.0,-0.3,1.0,18661.0,titania_prime_set
32,2020-12-27,59.7,108,0.2,▲,-49.0,0.3,3.0,27217.0,inaros_prime_set
25,2020-12-27,34.6,80,0.2,▲,-39.0,0.6,-63.0,38674.0,wukong_prime_set
106,2020-12-27,45.9,18,1.4,▲,-38.0,3.1,-3.0,7447.0,panthera_prime_set
90,2020-12-27,36.0,14,1.3,▲,-33.0,3.7,-4.0,6075.0,tekko_prime_set
39,2020-12-27,39.3,47,0.5,▲,-31.0,1.3,19.0,8089.0,corinth_prime_set
31,2020-12-27,34.8,72,0.5,▲,-30.0,1.5,15.0,28389.0,atlas_prime_set
