,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,283,2020-11-28,81.6,36,-0.6,▼,96.0,-0.7,10.0,9563.0,primed_continuity
1,318,2020-11-28,67.3,199,-0.2,▼,95.0,-0.3,63.0,44602.0,arcane_energize
2,0,2020-11-28,437.6,19,-1.8,▼,87.0,-0.4,0.0,9050.0,loki_prime_set
3,81,2020-11-28,186.7,47,0.5,▲,75.0,0.3,17.0,13204.0,kronen_prime_set
4,456,2020-11-28,55.2,16,0.0,-,75.0,0.0,-16.0,4451.0,primed_fever_strike
5,284,2020-11-28,83.0,19,-1.4,▼,68.0,-1.7,7.0,6739.0,primed_flow
6,23,2020-11-28,146.3,39,-2.0,▼,66.0,-1.3,4.0,14050.0,ash_prime_set
7,20,2020-11-28,91.3,63,0.0,-,56.0,0.0,9.0,21079.0,mirage_prime_set
8,19,2020-11-28,169.6,89,-0.6,▼,55.0,-0.4,7.0,26336.0,saryn_prime_set
9,11,2020-11-28,92.4,27,0.5,▲,55.0,0.5,-11.0,18438.0,limbo_prime_set
