,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
14,2020-01-20,53.5,26,2.8,▲,5.0,5.5,-25.0,330.0,mirage_prime_set
15,2020-01-20,73.2,34,2.2,▲,3.0,3.1,15.0,205.0,valkyr_prime_set
6,2020-01-20,121.1,143,3.0,▲,-3.0,2.5,-13.0,989.0,ivara_prime_set
59,2020-01-20,32.2,14,0.7,▲,2.0,2.2,-7.0,109.0,dakra_prime_set
73,2020-01-20,82.0,35,1.5,▲,0.0,1.9,19.0,178.0,reaper_prime_set
74,2020-01-20,32.0,49,0.5,▲,3.0,1.6,12.0,305.0,redeemer_prime_set
27,2020-01-20,61.7,12,1.0,▲,4.0,1.6,-3.0,94.0,boar_prime_set
39,2020-01-20,60.3,28,0.9,▲,6.0,1.5,3.0,162.0,tigris_prime_set
13,2020-01-20,116.5,68,1.4,▲,6.0,1.2,-3.0,432.0,saryn_prime_set
5,2020-01-20,47.1,25,0.5,▲,1.0,1.1,-30.0,326.0,limbo_prime_set
