,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
0,13,2020-03-13,139.6,104,0.5,▲,26.0,0.4,27.0,4259.0,saryn_prime_set
1,68,2020-03-13,120.2,29,4.0,▲,26.0,3.4,8.0,1271.0,kronen_prime_set
2,12,2020-03-13,138.6,32,0.0,-,26.0,0.0,-11.0,2452.0,nova_prime_set
3,9,2020-03-13,171.0,27,0.0,-,25.0,0.0,-16.0,1804.0,frost_prime_set
4,14,2020-03-13,69.3,64,0.0,-,25.0,0.0,-3.0,3172.0,mirage_prime_set
5,24,2020-03-13,192.4,48,1.0,▲,24.0,0.5,9.0,2720.0,volt_prime_set
6,18,2020-03-13,50.5,37,0.0,-,24.0,0.0,-2.0,1819.0,zephyr_prime_set
7,59,2020-03-13,47.1,20,-0.4,▼,23.0,-0.8,4.0,1065.0,dakra_prime_set
8,10,2020-03-13,124.3,48,1.4,▲,20.0,1.1,-1.0,2760.0,trinity_prime_set
9,15,2020-03-13,90.6,41,0.0,-,19.0,0.0,6.0,2218.0,valkyr_prime_set
