,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
7,2020-07-03,37.7,123,1.5,▲,-18.0,4.1,4.0,15114.0,chroma_prime_set
54,2020-07-03,36.2,30,1.1,▲,30.0,3.1,9.0,6110.0,pyrana_prime_set
67,2020-07-03,59.6,13,1.6,▲,13.0,2.8,8.0,1734.0,kogake_prime_set
77,2020-07-03,42.5,17,1.1,▲,-22.0,2.7,-5.0,3129.0,tekko_prime_set
28,2020-07-03,51.2,13,1.0,▲,-4.0,2.0,6.0,2103.0,boltor_prime_set
39,2020-07-03,31.2,18,0.6,▲,-6.0,2.0,-7.0,3999.0,tigris_prime_set
75,2020-07-03,46.8,14,0.9,▲,19.0,2.0,2.0,2042.0,scindo_prime_set
108,2020-07-03,104.2,11,2.0,▲,12.0,2.0,6.0,806.0,mara_detron
76,2020-07-03,34.1,23,0.6,▲,-15.0,1.8,10.0,3562.0,silva_and_aegis_prime_set
263,2020-07-03,49.5,20,0.8,▲,-1.0,1.6,2.0,2327.0,high_voltage
