,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
6,2020-02-15,115.6,234,-0.7,▼,-11.0,-0.6,106.0,4470.0,ivara_prime_set
26,2020-02-15,103.3,77,1.3,▲,-9.0,1.3,34.0,1468.0,baza_prime_set
77,2020-02-15,87.2,37,1.1,▲,-6.0,1.3,14.0,479.0,tekko_prime_set
46,2020-02-15,156.8,45,3.6,▲,-4.0,2.3,-1.0,1105.0,aksomati_prime_set
3,2020-02-15,49.6,93,-0.2,▼,-3.0,-0.4,-28.0,2419.0,mesa_prime_set
47,2020-02-15,62.8,29,-1.5,▼,-3.0,-2.3,16.0,563.0,akstiletto_prime_set
23,2020-02-15,137.1,87,-3.0,▼,-3.0,-2.1,27.0,1537.0,nekros_prime_set
20,2020-02-15,119.4,69,-0.2,▼,-3.0,-0.2,25.0,1389.0,vauban_prime_set
121,2020-02-15,32.5,11,-0.5,▼,-2.0,-1.5,4.0,29.0,synoid_heliocor
110,2020-02-15,32.5,12,-0.2,▼,-2.0,-0.6,2.0,34.0,secura_dual_cestra
