,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
51,2020-03-11,64.2,12,1.0,▲,5.0,1.6,-27.0,837.0,euphona_prime_set
6,2020-03-11,110.9,133,1.0,▲,-13.0,0.9,-19.0,7683.0,ivara_prime_set
68,2020-03-11,108.2,34,8.1,▲,24.0,8.1,-18.0,1221.0,kronen_prime_set
12,2020-03-11,138.2,27,0.9,▲,25.0,0.7,-17.0,2377.0,nova_prime_set
13,2020-03-11,138.6,76,0.1,▲,24.0,0.1,-14.0,4078.0,saryn_prime_set
59,2020-03-11,47.3,11,0.0,-,23.0,0.0,-13.0,1029.0,dakra_prime_set
70,2020-03-11,70.6,22,-0.3,▼,16.0,-0.4,-11.0,1582.0,nikana_prime_set
40,2020-03-11,72.9,12,0.2,▲,-4.0,0.3,-10.0,1295.0,vectis_prime_set
74,2020-03-11,33.9,61,0.0,-,7.0,0.0,-8.0,2603.0,redeemer_prime_set
35,2020-03-11,86.1,15,0.1,▲,11.0,0.1,-6.0,1130.0,soma_prime_set
