,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
16,16,2020-01-29,268.3,12,2.9,▲,12.0,1.1,-13.0,383.0,loki_prime_set
16,16,2020-01-29,49.5,29,-0.2,▼,4.0,-0.4,-26.0,926.0,equinox_prime_set
16,16,2020-01-29,149.8,55,1.9,▲,5.0,1.3,18.0,782.0,rhino_prime_set
16,16,2020-01-29,48.7,70,0.4,▲,0.0,0.8,-12.0,996.0,mesa_prime_set
16,16,2020-01-29,142.4,16,0.9,▲,9.0,0.6,-28.0,510.0,ember_prime_set
16,16,2020-01-29,46.6,23,0.8,▲,1.0,1.7,-31.0,748.0,limbo_prime_set
16,16,2020-01-29,116.8,110,-2.0,▼,-6.0,-1.7,-3.0,2084.0,ivara_prime_set
16,16,2020-01-29,39.3,38,0.0,-,-4.0,0.0,-17.0,807.0,chroma_prime_set
16,16,2020-01-29,86.5,10,1.2,▲,8.0,1.4,-13.0,376.0,nyx_prime_set
16,16,2020-01-29,156.3,37,1.1,▲,9.0,0.7,4.0,468.0,frost_prime_set
16,16,2020-01-29,102.0,28,-1.0,▼,4.0,-1.0,-11.0,678.0,trinity_prime_set
16,16,2020-01-29,97.0,34,-0.1,▼,7.0,-0.1,-18.0,616.0,hydroid_prime_set
16,16,2020-01-29,136.3,17,-2.0,▼,9.0,-1.4,-59.0,669.0,nova_prime_set
16,16,2020-01-29,122.3,56,1.0,▲,11.0,0.8,-2.0,971.0,saryn_prime_set
16,16,2020-01-29,58.5,25,0.8,▲,9.0,1.4,-17.0,709.0,mirage_prime_set
16,16,2020-01-29,82.4,29,0.5,▲,10.0,0.6,-6.0,451.0,valkyr_prime_set
16,16,2020-01-29,111.4,29,0.5,▲,14.0,0.5,-13.0,498.0,mag_prime_set
16,16,2020-01-29,62.7,49,-1.9,▼,-5.0,-2.9,16.0,625.0,ash_prime_set
16,16,2020-01-29,39.7,18,0.0,-,5.0,0.0,3.0,369.0,zephyr_prime_set
16,16,2020-01-29,55.3,74,-0.2,▼,-2.0,-0.4,4.0,1273.0,wukong_prime_set
16,16,2020-01-29,97.5,46,-1.3,▼,-7.0,-1.3,21.0,548.0,vauban_prime_set
16,16,2020-01-29,84.1,28,0.4,▲,8.0,0.5,12.0,448.0,banshee_prime_set
