,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
228,2020-09-11,103.5,10,-35.1,▼,3.0,-25.3,1.0,114.0,necramech_pressure_point
227,2020-09-11,125.3,38,-39.3,▼,5.0,-23.9,5.0,365.0,necramech_intensify
128,2020-09-11,80.2,51,-13.0,▼,26.0,-13.9,49.0,766.0,machete_wraith
386,2020-09-11,56.4,56,-7.5,▼,1.0,-11.7,53.0,1224.0,primed_charged_shell
97,2020-09-11,49.4,37,-3.0,▼,-16.0,-5.7,-8.0,5068.0,karyst_prime_set
236,2020-09-11,376.0,10,-16.5,▼,9.0,-4.2,4.0,116.0,necramech_thrusters
151,2020-09-11,32.8,21,-1.1,▼,36.0,-3.2,13.0,1786.0,rejuvenation
30,2020-09-11,59.8,58,-1.9,▼,-13.0,-3.1,-9.0,4216.0,corinth_prime_set
28,2020-09-11,52.3,37,-1.6,▼,-55.0,-3.0,-8.0,10471.0,baza_prime_set
1,2020-09-11,45.1,166,-1.1,▼,-22.0,-2.4,4.0,10005.0,titania_prime_set
